content_id,series_id,season_id,season_number,episode_number
00000160-e3e9-d86e-a3fd-e7e9ae690000,a9d5608d-d0cf-4676-9338-65d82050a26f,931b24b9-ca2d-44aa-b0e0-1e07ea09d854,1,6
00000160-e3ec-d913-a5e3-ebed3ec70000,a9d5608d-d0cf-4676-9338-65d82050a26f,931b24b9-ca2d-44aa-b0e0-1e07ea09d854,1,7
00000160-e3ef-dd5f-a5fe-f7efe7360000,a9d5608d-d0cf-4676-9338-65d82050a26f,931b24b9-ca2d-44aa-b0e0-1e07ea09d854,1,8
00000160-e3f2-d86e-a3fd-e7fa8c850000,a9d5608d-d0cf-4676-9338-65d82050a26f,931b24b9-ca2d-44aa-b0e0-1e07ea09d854,1,9
00000160-e3f5-d86e-a3fd-e7fdc6ee0000,a9d5608d-d0cf-4676-9338-65d82050a26f,931b24b9-ca2d-44aa-b0e0-1e07ea09d854,1,10
0013a422-8c6b-421e-b864-67146a1e30c1,ac8e270b-8888-4ea5-8e5f-5d7b2d7a32ab,292c5b37-bf8a-4622-9ac9-bafeaa6d0292,2,6
00354dc2-1dff-4693-af79-444abb819e86,3b32b889-175f-44a9-8935-77efe651b8bd,e58a5383-6d2e-4526-a0f7-f1adb29ab8a0,2,4
003ac3df-c895-47fa-ac1d-45f39cc1c4c7,5897931c-b645-4d46-836f-05f521543f7b,19c35af2-4550-4ded-9369-d6fc891f3c0d,1,5
003e7f05-db5f-4d91-8083-dc943bacee54,b6fa1199-cc6d-4a1a-ac1e-73c8f94210d2,b064104a-588c-4378-9518-9a39b333129f,1,2
00476d91-04d8-488a-beae-ec64fc1b5b10,bdc9f5be-d4c1-4808-ba37-4516e0d71e2e,cf2316fe-c826-4024-ab26-5325d6f71b50,1,1
0087bc20-bd72-443d-b071-ca736f9ef5c4,8601cf75-011c-49dc-ae32-2d89177299b5,eb3f77cf-ccf6-42b4-97ae-b7f274a5d79f,1,5
00b1084b-44bd-43b0-893a-bbde0a4be0eb,c4eb6fa2-9812-4797-87df-776f72844eab,b21bf8c3-1a1a-40b8-ace4-e97a88a27c97,3,4
00ebe412-225a-4ec8-8a75-645f8caf0151,9204de1f-4fbe-4d5e-a333-f2c7f0703b15,005f7e0f-e692-4a37-abb6-0df973e7517b,0,0
00f08a4c-e822-46ac-8812-1ce46265d0f9,1ccffcd2-6d66-46af-8cae-d2620d423f78,a9bcd386-edc3-4b46-bc72-3562da2d9a4e,1,2
010918a6-0a34-4ab8-824c-11ef79038fc9,6a0e364b-54f0-41e6-9ee5-cb957da715ac,14e88355-f229-4bd1-b798-66a160d64932,1,1
0139cf92-ea16-48c8-886b-b0bd7fe4b974,86f52c01-e6d9-4b79-97b9-fde4c4aadda0,a089d9db-2833-429a-ad07-f4434b045860,2,1
01502fc5-04ac-4a32-b1f0-dae6b114e916,7edffbf6-5568-4d5c-8e4c-fd7ef815b4ab,5b30b220-c162-45be-8e91-404a5efe8656,3,4
015be5ff-d178-4a5b-9701-2848a965bec6,2504d56c-efbb-4905-9d5e-817ad4562fcd,9e23282e-720f-4574-88fb-33a0feb0bf78,1,1
0166309f-5d9e-4fa7-a2f7-ef89b262f277,b4529c8a-75eb-4696-9a50-6f2e2fef7e63,9c901393-d3dc-4388-ba61-21cde509d3d6,3,7
0184bb73-c87c-48ad-b142-f1a7a046c65a,33da35ad-fcf0-4d86-b328-38322d9811ad,34b62974-853b-46aa-adfc-4e01c6d652ef,1,7
018f7b3d-cb74-44c2-bddd-5a8722b91a0a,9dced9f0-2016-430e-86ec-b3e06c6a0041,0a9620ad-c465-4b16-869d-84d1f32f17f7,1,1
019020b2-7faf-44fc-a9df-60fb45de6924,4dd79cf6-78d3-4cf6-8755-9354b00a25e2,20d73915-28c5-4b3e-a8a6-f8e2927ccf26,1,8
019671df-b442-4d55-aa35-f28f8de13ea1,c4eb6fa2-9812-4797-87df-776f72844eab,5458ee5d-bb5f-4560-8208-c83d7d7fcec8,1,6
01abe33e-4459-4f5a-9f36-1b4b44056cb3,4002c0eb-a380-49ea-bfff-ac349dedf715,a631b6ef-edd3-49da-b913-9453442fc412,1,1
01d4a4a7-5323-4180-aacf-fbc97f9ac353,4e454780-8da8-44ef-a5b8-cbef3e826ad9,b0f633ef-e719-46f4-bb90-94660d556af6,1,4
01d6f31b-40e5-4187-8907-07919171dec0,14431c0e-204c-4123-b218-dc5d401a8859,bf2e1a30-8586-4d33-8bb2-d7cc1f325add,1,3
01e4441b-07e1-4581-9b7b-c2170bfea290,b4529c8a-75eb-4696-9a50-6f2e2fef7e63,9c901393-d3dc-4388-ba61-21cde509d3d6,3,2
0203537f-9f96-4a82-a9bb-6e09a41d9e59,c4fe81c1-ee92-4690-b61b-69558bddfb27,2c76ea9a-eace-4de8-85d4-d4d6edd89f40,1,7
